codice_comune_istat,codice_ipa,denominazione_ente,url
089008,c_d540,Comune di Ferla,https://www.comune.ferla.sr.it/portal
089009,c_d636,Comune di Floridia,https://www.comune.floridia.sr.it
089010,c_d768,Comune di Francofonte,https://www.comune.francofonte.sr.it/
089011,c_e532,Comune di Lentini,https://www.comune.lentini.sr.it
089012,c_f107,Comune di Melilli,https://www.comune.melilli.sr.it
089013,c_f943,Comune di Noto,https://www.comune.noto.sr.it
089014,c_g211,Comune di Pachino,http://www.comune.pachino.sr.it
089015,c_g267,Comune di Palazzolo Acreide,https://www.comune.palazzoloacreide.sr.it
089016,c_h574,Comune di Rosolini,https://www.comune.rosolini.sr.it
089017,c_i754,Comune di Siracusa,https://www.comune.siracusa.it
089018,c_i785,Comune di Solarino,https://www.comune.solarino.sr.it
089019,c_i864,Comune di Sortino,https://www.comune.sortino.sr.it
089020,c_m257,Comune di Portopalo di Capo Passero,https://www.comune.portopalo.sr.it
089021,c_m279,Comune di Priolo Gargallo,https://www.comune.priologargallo.sr.it/
